,ip,count,country,city,region,latitude,longitude,loc,org,postal,timezone,country_name,hostname,bogon,anycast
1304,81.44.116.67,38,US,Miami,Florida,25.7743,-80.1937,"25.7743,-80.1937",AS3352 TELEFONICA DE ESPANA,33101,America/New_York,United States,67.red-81-44-116.dynamicip.rima-tde.net,,
1305,180.76.6.45,38,CN,Foshan,Guangdong,23.0268,113.1315,"23.0268,113.1315","AS55967 Beijing Baidu Netcom Science and Technology Co., Ltd.",,Asia/Shanghai,China,,,
1306,201.200.111.98,38,CO,Cali,Valle del Cauca,3.4372,-76.5225,"3.4372,-76.5225",AS11830 Instituto Costarricense de Electricidad y Telecom.,760001,America/Bogota,Colombia,,,
1307,181.235.206.45,38,CO,Neiva,Huila,2.9273,-75.2819,"2.9273,-75.2819",AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP,410001,America/Bogota,Colombia,,,
1308,180.76.6.233,38,CN,Foshan,Guangdong,23.0268,113.1315,"23.0268,113.1315","AS55967 Beijing Baidu Netcom Science and Technology Co., Ltd.",,Asia/Shanghai,China,,,
1309,201.255.241.6,38,AR,Buenos Aires,Buenos Aires F.D.,-34.6131,-58.3772,"-34.6131,-58.3772",,1871,America/Argentina/Buenos_Aires,Argentina,201-255-241-6.mrse.com.ar,,
1310,186.188.255.16,38,PA,David,Chiriquí,8.4273,-82.4309,"8.4273,-82.4309",AS18809 Cable Onda,,America/Panama,Panama,,,
1311,88.23.70.19,38,ES,Pontevedra,Galicia,42.4310,-8.6443,"42.4310,-8.6443",,36001,Europe/Madrid,Spain,19.red-88-23-70.staticip.rima-tde.net,,
1312,180.76.5.221,38,JP,Tokyo,Tokyo,35.6895,139.6917,"35.6895,139.6917","AS55967 Beijing Baidu Netcom Science and Technology Co., Ltd.",101-8656,Asia/Tokyo,Japan,baiduspider-180-76-5-221.crawl.baidu.com,,
1313,81.45.52.41,38,ES,Madrid,Madrid,40.4165,-3.7026,"40.4165,-3.7026",AS3352 TELEFONICA DE ESPANA,28001,Europe/Madrid,Spain,41.red-81-45-52.staticip.rima-tde.net,,
1314,83.39.131.123,38,ES,Santa Coloma de Farners,Catalonia,41.8667,2.6667,"41.8667,2.6667",AS3352 TELEFONICA DE ESPANA,17430,Europe/Madrid,Spain,123.red-83-39-131.dynamicip.rima-tde.net,,
1315,180.76.5.144,38,JP,Tokyo,Tokyo,35.6895,139.6917,"35.6895,139.6917","AS55967 Beijing Baidu Netcom Science and Technology Co., Ltd.",101-8656,Asia/Tokyo,Japan,baiduspider-180-76-5-144.crawl.baidu.com,,
1316,95.18.46.3,38,ES,Madrid,Madrid,40.4165,-3.7026,"40.4165,-3.7026",AS12479 Orange Espagne SA,28001,Europe/Madrid,Spain,3.46.18.95.dynamic.jazztel.es,,
1317,81.45.52.88,38,ES,Madrid,Madrid,40.4165,-3.7026,"40.4165,-3.7026",AS3352 TELEFONICA DE ESPANA,28001,Europe/Madrid,Spain,88.red-81-45-52.staticip.rima-tde.net,,
1318,180.76.6.156,38,CN,Foshan,Guangdong,23.0268,113.1315,"23.0268,113.1315","AS55967 Beijing Baidu Netcom Science and Technology Co., Ltd.",,Asia/Shanghai,China,,,
1319,188.86.106.161,38,ES,Barcelona,Catalonia,41.3888,2.1590,"41.3888,2.1590",AS12430 VODAFONE ESPANA S.A.U.,08001,Europe/Madrid,Spain,static-161-106-86-188.ipcom.comunitel.net,,
1320,2.139.225.57,38,ES,Madrid,Madrid,40.4165,-3.7026,"40.4165,-3.7026",AS3352 TELEFONICA DE ESPANA,28013,Europe/Madrid,Spain,57.red-2-139-225.staticip.rima-tde.net,,
1321,95.127.247.217,38,ES,Sevilla,Andalusia,37.3828,-5.9732,"37.3828,-5.9732",AS3352 TELEFONICA DE ESPANA,41001,Europe/Madrid,Spain,217.red-95-127-247.staticip.rima-tde.net,,
1322,81.45.55.188,38,ES,Madrid,Madrid,40.4165,-3.7026,"40.4165,-3.7026",AS3352 TELEFONICA DE ESPANA,28001,Europe/Madrid,Spain,188.red-81-45-55.staticip.rima-tde.net,,
1323,180.76.5.71,38,JP,Tokyo,Tokyo,35.6895,139.6917,"35.6895,139.6917","AS55967 Beijing Baidu Netcom Science and Technology Co., Ltd.",101-8656,Asia/Tokyo,Japan,baiduspider-180-76-5-71.crawl.baidu.com,,
1324,88.14.98.68,38,ES,Madrid,Madrid,40.4165,-3.7026,"40.4165,-3.7026",AS3352 TELEFONICA DE ESPANA,28001,Europe/Madrid,Spain,68.red-88-14-98.dynamicip.rima-tde.net,,
1325,83.55.138.52,38,ES,Rubí,Catalonia,41.4923,2.0330,"41.4923,2.0330",AS3352 TELEFONICA DE ESPANA,08191,Europe/Madrid,Spain,52.red-83-55-138.dynamicip.rima-tde.net,,
1326,89.129.111.153,38,ES,Sevilla,Andalusia,37.3828,-5.9732,"37.3828,-5.9732",AS12479 Orange Espagne SA,41001,Europe/Madrid,Spain,,,
1327,81.45.52.224,38,ES,Madrid,Madrid,40.4165,-3.7026,"40.4165,-3.7026",AS3352 TELEFONICA DE ESPANA,28001,Europe/Madrid,Spain,224.red-81-45-52.staticip.rima-tde.net,,
1328,180.76.5.188,38,JP,Tokyo,Tokyo,35.6895,139.6917,"35.6895,139.6917","AS55967 Beijing Baidu Netcom Science and Technology Co., Ltd.",101-8656,Asia/Tokyo,Japan,baiduspider-180-76-5-188.crawl.baidu.com,,
